2025-01-21,53955
2025-01-28,55156
2025-02-04,55571
2025-02-11,55342
2025-02-18,55316
2025-02-25,55250
2025-03-04,54356
2025-03-11,53827
2025-03-18,55271
2025-03-25,55205
2025-04-01,54904
2025-04-08,54152
2025-04-15,55015
2025-04-22,55342
2025-04-29,55000
2025-05-06,54837
2025-05-13,55054
2025-05-20,55503
2025-05-27,55640
2025-06-03,54977
2025-06-10,54226
2025-06-17,54643
2025-06-24,55014
2025-07-01,54728
2025-07-08,53952
2025-07-15,53264
2025-07-22,52224
2025-07-29,52241
2025-08-05,53256
2025-08-12,56065
2025-08-19,55305
2025-08-26,54500
2025-09-02,51924
2025-09-09,50469
2025-09-16,50704
2025-09-23,50130
2025-09-30,50042
2025-10-07,49471
2025-10-14,49464
2025-10-21,50731
2025-10-28,50344
2025-11-04,49616
2025-11-11,48422
2025-11-18,48888
2025-11-25,49167
2025-12-02,49160
2025-12-09,48717
2025-12-16,49757
2025-12-23,50160
2025-12-30,50991
2026-01-06,51380
2026-01-13,52369
2026-01-20,52877
